0,1,2,3,4,5,6,7,8,9,10,11
-0.12,-0.044,0.076,0.082,-0.098,0.016,-0.058,-0.034,-0.01,-0.028,-0.029,-0.069
-0.053,0.092,0.145,-0.02,-0.1,0.118,-0.082,0.043,0.069,0.107,0.013,0.022
-0.054,-0.057,-0.003,0.056,-0.025,-0.03,0.019,-0.048,-0.105,-0.078,-0.066,-0.054
-0.063,-0.153,-0.09,0.108,0.014,-0.121,0.032,-0.051,-0.059,-0.312,-0.193,-0.185
-0.057,-0.584,-0.527,0.32,0.235,-0.555,0.195,0.242,0.126,0.157,0.13,0.11
0.02,-0.228,-0.248,0.104,0.134,-0.237,-0.618,0.095,0.035,0.125,-0.015,-0.064
-0.09,-0.02,0.07,0.055,-0.08,0.025,0.048,-0.037,-0.071,-0.038,0.02,-0.005
-0.018,-0.069,-0.051,0.043,0.017,-0.059,0.045,-0.013,-0.006,-0.055,-0.073,-0.045
-0.064,-0.06,0.005,0.062,-0.034,-0.027,-0.088,-0.147,-0.196,-0.188,-0.199,-0.04
-0.068,-0.133,-0.065,0.101,-0.001,-0.099,0.103,-0.142,-0.067,-0.078,-0.033,-0.087
0.251,0.089,-0.163,-0.17,0.207,-0.037,-0.176,0.092,0.23,0.039,0.138,0.216
0.504,0.656,0.153,-0.58,0.175,0.404,-0.893,-1.201,0.558,1.033,1.097,0.735
0.227,0.372,0.145,-0.3,0.041,0.258,-0.199,-0.116,0.408,0.684,0.571,0.397
-0.077,-0.072,0.006,0.074,-0.042,-0.033,-0.017,0.034,-0.113,0.007,0.042,-0.029
-0.041,0.055,0.097,-0.007,-0.069,0.076,-0.008,-0.019,-0.047,-0.048,-0.03,0.077
0.017,-0.065,-0.082,0.024,0.05,-0.073,-0.597,-0.198,0.345,0.082,-0.062,-0.083
0.041,-0.325,-0.366,0.142,0.204,-0.345,0.18,0.251,0.022,-1.554,-0.377,-0.461
-0.02,0.054,0.074,-0.017,-0.047,0.064,0.008,0.033,0.068,0.045,0.057,0.069
-0.128,0.003,0.131,0.062,-0.13,0.067,-0.033,-0.025,-0.295,-0.23,-0.19,-0.24
-0.062,0.052,0.114,0.004,-0.088,0.083,-0.161,0.145,0.181,0.144,0.09,0.029
-0.03,-0.081,-0.051,0.056,0.011,-0.066,-0.078,-0.087,-0.169,-0.141,-0.116,-0.016
0.072,0.099,0.027,-0.086,0.022,0.063,-0.004,-0.03,-0.019,0.043,-0.003,0.018
-0.117,-0.163,-0.046,0.14,-0.035,-0.104,0.118,0.001,-0.039,-0.12,-0.142,-0.162
-0.03,0.035,0.066,-0.003,-0.048,0.05,0.043,0.077,-0.03,-0.043,-0.015,0.015
-0.145,-0.001,0.144,0.073,-0.144,0.071,-0.004,-0.018,0.376,-0.069,-0.097,0.111
-0.272,-0.237,0.036,0.254,-0.154,-0.1,-0.015,-0.059,-0.103,-0.155,-0.15,-0.16
-0.032,-0.05,-0.018,0.041,-0.007,-0.034,0.055,0.04,0.047,0.029,0.006,0.001
-0.058,-0.103,-0.046,0.081,-0.006,-0.074,0.139,0.171,0.976,0.089,0.05,0.045
0.007,-0.132,-0.139,0.063,0.073,-0.135,0.092,0.081,0.055,0.07,-0.025,-0.07
-0.06,0.255,0.315,-0.097,-0.188,0.285,0.032,-0.261,-0.101,-0.129,-0.219,-0.154
-0.029,-0.063,-0.034,0.046,0.003,-0.048,0.071,-0.041,-0.092,-0.072,-0.061,-0.075
-0.041,0.203,0.244,-0.081,-0.143,0.223,-0.028,-0.28,-0.079,-0.077,-0.154,-0.103
0.341,0.441,0.1,-0.391,0.12,0.27,-0.186,-0.242,0.363,0.25,0.194,0.303
-0.104,-0.398,-0.294,0.251,0.095,-0.346,0.031,-1.284,-1.203,-0.985,-0.608,-0.138
-0.128,-0.03,0.098,0.079,-0.113,0.034,0.032,-0.011,0.0,0.065,-0.007,0.038
0.004,0.152,0.149,-0.078,-0.073,0.15,0.06,-0.08,-0.087,-0.127,-0.079,-0.006
0.161,0.024,-0.138,-0.093,0.149,-0.057,-0.052,0.159,0.109,0.099,0.043,0.058
0.125,-0.092,-0.217,-0.016,0.171,-0.154,-0.912,-1.065,-0.087,-0.002,0.022,0.181
-0.167,-0.043,0.124,0.105,-0.145,0.04,-0.142,0.045,0.026,0.021,0.13,-0.008
0.095,0.09,-0.005,-0.092,0.05,0.042,0.312,0.831,0.338,0.143,0.123,0.035
-0.009,-0.062,-0.053,0.036,0.023,-0.057,0.074,0.181,0.04,-0.048,-0.007,0.065
-0.111,-0.085,0.026,0.097,-0.068,-0.03,-0.025,-0.01,-0.031,-0.055,-0.105,-0.03
-0.068,0.064,0.133,0.002,-0.101,0.099,0.13,0.216,0.188,0.072,-0.049,0.138
-0.068,-0.03,0.039,0.049,-0.053,0.004,0.006,0.056,-0.05,-0.074,-0.074,-0.062
-0.128,-0.405,-0.277,0.267,0.075,-0.341,0.113,0.065,0.117,-0.004,-0.017,-0.122
-0.299,-0.367,-0.068,0.333,-0.115,-0.217,-0.468,-0.764,-1.088,-0.767,-0.387,-0.158
0.046,-0.106,-0.152,0.03,0.1,-0.129,0.09,0.032,-0.051,0.017,-0.032,-0.016
-0.117,-0.028,0.088,0.072,-0.102,0.03,0.013,-0.031,-0.029,-0.026,-0.052,-0.312
-0.029,-0.013,0.016,0.021,-0.023,0.002,0.198,0.303,0.664,0.522,0.356,0.241
-0.303,0.51,0.813,-0.104,-0.558,0.661,-0.12,-0.425,-0.39,0.185,-0.16,-0.261
-0.005,0.029,0.034,-0.012,-0.02,0.031,0.04,-0.05,-0.123,-0.103,-0.129,-0.11
-0.037,-0.08,-0.043,0.059,0.003,-0.061,0.096,-0.251,-0.148,-0.121,0.074,0.142
-0.051,-0.035,0.017,0.043,-0.033,-0.009,0.04,0.028,-0.075,-0.06,-0.025,-0.025
-0.035,-0.057,-0.022,0.046,-0.007,-0.039,-0.03,0.028,-0.061,-0.002,0.014,-0.004
0.011,-0.065,-0.075,0.027,0.044,-0.07,-0.042,-0.027,-0.097,-0.082,-0.097,-0.055
0.008,-0.111,-0.12,0.052,0.064,-0.116,0.037,0.071,0.134,0.167,0.101,0.087
-0.18,-0.119,0.061,0.149,-0.121,-0.028,0.054,-0.012,-0.038,0.0,-0.005,0.036
0.085,-0.027,-0.112,-0.029,0.099,-0.07,-0.036,-0.101,-0.124,-0.175,-0.117,-0.144
-0.002,-0.215,-0.212,0.109,0.105,-0.213,0.215,0.136,0.082,0.047,0.034,0.015
-0.041,-0.021,0.019,0.031,-0.03,-0.001,-0.028,-0.066,-0.026,-0.03,0.05,-0.05
-0.016,0.002,0.018,0.006,-0.017,0.009,0.071,0.022,-0.091,-0.082,-0.077,-0.05
-0.096,0.066,0.162,0.015,-0.13,0.114,-0.065,0.555,0.05,0.08,0.25,-0.01
-0.035,-0.027,0.008,0.031,-0.021,-0.009,-0.017,-0.021,0.073,-0.047,-0.093,-0.091
-0.125,-0.095,0.03,0.11,-0.077,-0.032,0.045,-0.035,-0.299,-0.235,-0.182,-0.13
-0.128,0.15,0.278,-0.011,-0.203,0.213,-0.015,-0.06,-0.06,-0.075,-0.079,0.025
-0.092,-0.144,-0.053,0.118,-0.019,-0.098,0.017,-0.05,-0.165,-0.13,-0.125,-0.019
0.054,0.185,0.131,-0.12,-0.039,0.158,-0.117,0.269,0.339,0.363,0.206,0.172
0.041,-0.253,-0.294,0.106,0.168,-0.273,-0.499,-0.861,-0.638,-0.448,-0.287,-0.055
0.498,0.844,0.345,-0.671,0.076,0.594,-0.746,-0.623,0.198,0.339,0.448,0.473
0.045,0.102,0.057,-0.074,-0.006,0.079,0.036,-0.165,-0.136,-0.069,-0.166,-0.09
-0.01,0.015,0.025,-0.003,-0.018,0.02,0.056,0.03,0.021,0.0,0.01,-0.01
0.333,0.506,0.173,-0.42,0.08,0.339,-0.061,0.337,0.488,0.54,0.53,0.198
-0.03,0.029,0.059,0.0,-0.045,0.044,-0.074,-0.2,-0.29,-0.162,-0.155,-0.051
-0.075,-0.403,-0.328,0.239,0.127,-0.365,0.132,0.027,-0.044,0.021,0.08,0.01
-0.048,-0.02,0.028,0.034,-0.038,0.003,-0.01,-0.212,-0.16,-0.037,0.044,0.084
0.035,-0.01,-0.045,-0.012,0.04,-0.028,0.032,-0.014,0.022,-0.05,-0.06,-0.044
0.006,-0.01,-0.016,0.002,0.012,-0.013,-0.051,-0.008,-0.126,-0.112,-0.091,0.041
-0.042,0.074,0.116,-0.016,-0.079,0.094,-0.009,-0.065,-0.066,-0.034,-0.028,0.007
-0.102,-0.102,0.0,0.103,-0.051,-0.051,0.014,-0.038,-0.101,-0.092,-0.105,-0.136
0.065,0.368,0.303,-0.217,-0.119,0.335,0.45,0.324,0.338,0.546,1.129,1.089
-0.038,-0.009,0.029,0.023,-0.033,0.01,0.034,0.08,0.283,-0.051,0.008,-0.18
0.21,0.102,-0.107,-0.156,0.158,-0.003,-0.067,0.406,0.471,0.217,0.25,0.229
-0.019,0.065,0.084,-0.023,-0.051,0.075,-0.31,-0.792,0.027,0.114,0.137,0.074
-0.108,-0.077,0.03,0.092,-0.069,-0.023,0.252,0.087,0.164,-0.12,-0.199,-0.027
-0.069,-0.142,-0.074,0.106,0.003,-0.108,0.097,0.002,0.056,0.074,0.119,0.11
-0.217,-0.519,-0.302,0.368,0.043,-0.41,0.053,0.186,0.274,0.266,0.26,0.199
-0.088,0.334,0.423,-0.123,-0.256,0.378,-0.149,-0.256,-0.435,-0.573,-0.371,-0.283
-0.015,-0.185,-0.17,0.1,0.078,-0.177,0.165,0.299,0.099,-0.04,-0.02,-0.073
0.046,0.06,0.014,-0.053,0.016,0.037,0.037,-0.013,0.036,0.056,0.031,-0.019
-0.083,-0.193,-0.111,0.138,0.014,-0.152,0.09,-0.11,-0.174,-0.147,-0.126,-0.13
-0.067,0.123,0.19,-0.029,-0.129,0.157,-0.021,-0.082,-0.193,-0.245,-0.196,-0.181
0.032,0.063,0.031,-0.047,0.0,0.047,0.039,0.056,-0.006,-0.038,0.02,-0.03
-0.019,-0.079,-0.06,0.049,0.021,-0.069,-0.03,-0.13,-0.126,-0.185,-0.112,-0.391
-0.033,-0.063,-0.029,0.048,-0.002,-0.046,0.022,0.176,-0.118,-0.158,-0.045,-0.055
-0.008,0.09,0.098,-0.041,-0.053,0.093,-0.065,-0.186,-0.124,-0.05,-0.075,0.02
0.003,-0.067,-0.07,0.032,0.037,-0.069,0.04,0.017,-0.074,-0.159,-0.105,-0.093
0.08,0.046,-0.034,-0.063,0.056,0.006,-0.022,-0.184,-0.155,-0.136,-0.112,-0.085
0.019,-0.106,-0.125,0.044,0.072,-0.115,-0.037,-0.016,0.044,-0.102,-0.045,-0.071
-0.019,0.021,0.041,-0.001,-0.03,0.031,-0.004,0.013,-0.092,-0.116,-0.096,-0.091
-0.037,0.019,0.056,0.008,-0.046,0.037,0.035,-0.091,-0.16,-0.057,0.01,-0.081
-0.065,-0.04,0.025,0.052,-0.045,-0.007,0.045,-0.072,-0.113,-0.081,-0.075,-0.06
-0.004,0.047,0.051,-0.022,-0.028,0.049,-0.329,-0.896,-0.707,-0.764,0.032,-0.016
0.233,-0.027,-0.26,-0.102,0.246,-0.143,0.195,0.34,0.335,0.305,0.272,0.223
0.121,0.141,0.02,-0.131,0.05,0.08,-0.049,0.2,0.521,0.535,0.109,0.126
-0.143,0.006,0.149,0.068,-0.146,0.077,0.023,-0.117,-0.181,-0.209,-0.118,-0.015
-0.045,-0.14,-0.095,0.093,0.025,-0.117,0.025,-0.03,-0.195,-0.22,-0.14,-0.095
-0.097,-0.148,-0.051,0.122,-0.023,-0.099,0.041,-0.006,-0.058,-0.073,-0.055,-0.09
-0.049,-0.128,-0.078,0.089,0.015,-0.103,0.085,-0.132,0.095,-0.04,-0.053,-0.021
-0.008,-0.118,-0.11,0.063,0.051,-0.114,0.01,0.027,-0.03,-0.048,-0.003,0.015
-0.015,-0.125,-0.11,0.07,0.048,-0.117,0.1,0.029,-0.082,-0.01,-0.022,0.034
0.046,0.099,0.052,-0.073,-0.003,0.076,-0.016,0.319,0.43,0.322,0.238,0.168
-0.115,-0.04,0.075,0.077,-0.095,0.017,0.025,-0.1,-0.12,-0.155,-0.205,-0.127
0.599,0.626,0.027,-0.613,0.286,0.326,-0.705,-0.824,0.444,0.72,0.689,0.653
-0.028,-0.16,-0.131,0.094,0.052,-0.145,0.025,-0.04,0.055,0.015,0.095,0.021
0.023,-0.093,-0.115,0.035,0.069,-0.104,0.065,0.029,-0.096,-0.09,-0.08,-0.054
-0.014,-0.172,-0.158,0.093,0.072,-0.164,-0.031,-0.041,-0.009,0.02,0.0,0.005
-0.088,-0.107,-0.02,0.098,-0.034,-0.063,0.085,0.143,-0.028,-0.047,-0.06,-0.057
-0.293,-0.166,0.127,0.229,-0.21,-0.019,-0.115,-0.185,-0.215,-0.19,-0.175,-0.155
-0.283,-0.325,-0.042,0.304,-0.12,-0.183,-0.241,-0.423,-0.345,-0.24,-0.331,-0.587
-0.006,0.001,0.006,0.002,-0.006,0.003,-0.005,-0.041,-0.029,-0.095,-0.11,-0.04
0.088,0.109,0.021,-0.099,0.033,0.065,0.029,0.023,0.05,0.099,0.083,0.108
-0.037,-0.061,-0.025,0.05,-0.006,-0.043,-0.04,-0.115,-0.082,-0.045,-0.05,-0.051
0.069,-0.024,-0.093,-0.022,0.081,-0.059,-0.022,-0.117,-0.059,-0.104,-0.183,-0.193
-0.109,-0.199,-0.089,0.154,-0.01,-0.144,0.114,-0.077,-0.126,-0.038,-0.04,0.152
-0.041,-0.095,-0.054,0.068,0.006,-0.074,0.03,0.254,-0.006,-0.106,0.111,0.031
-0.073,-0.145,-0.072,0.109,0.0,-0.108,-0.002,0.005,0.126,0.037,0.082,0.235
0.097,0.287,0.191,-0.192,-0.047,0.239,0.021,0.268,0.05,0.079,-0.06,0.036
0.242,0.31,0.068,-0.276,0.087,0.188,0.07,0.113,-0.072,-0.106,0.077,0.293
0.041,-0.066,-0.108,0.013,0.075,-0.087,0.065,-0.035,-0.073,-0.082,-0.096,0.012
-0.005,0.075,0.08,-0.035,-0.043,0.076,0.102,-0.027,0.122,0.171,0.145,0.046
0.014,0.075,0.061,-0.044,-0.024,0.068,0.02,0.087,-0.068,-0.102,-0.116,-0.136
0.037,0.252,0.216,-0.145,-0.09,0.234,0.283,0.483,0.258,0.069,-0.013,-0.098
-0.034,-0.051,-0.017,0.043,-0.009,-0.034,-0.045,-0.065,-0.048,-0.055,-0.01,0.015
0.045,0.018,-0.027,-0.031,0.036,-0.005,0.171,-0.087,0.305,0.052,0.012,0.039
-0.033,0.455,0.488,-0.212,-0.26,0.471,-0.452,-1.373,-1.755,-0.792,0.062,1.486
-0.002,-0.138,-0.135,0.071,0.067,-0.136,0.017,-0.085,-0.091,-0.081,-0.04,-0.076
0.007,-0.158,-0.166,0.076,0.086,-0.162,0.109,0.049,0.036,-0.142,0.154,-0.174
0.007,-0.158,-0.166,0.076,0.086,-0.162,0.109,0.049,0.036,-0.142,0.154,-0.174
-0.194,-0.407,-0.213,0.3,0.01,-0.309,0.202,0.081,0.014,0.012,0.0,0.039
0.183,0.146,-0.037,-0.164,0.109,0.054,0.159,0.095,-0.035,-0.069,0.052,0.062
-0.117,-0.005,0.112,0.061,-0.114,0.053,-0.579,0.182,-0.386,-0.26,-0.041,0.063
-0.051,-0.15,-0.099,0.1,0.024,-0.125,-0.244,-0.159,-0.129,-0.136,-0.207,0.052
-0.029,-0.478,-0.449,0.253,0.211,-0.463,0.159,0.016,-0.145,-0.09,-0.024,0.085
-0.029,-0.478,-0.449,0.253,0.211,-0.463,0.159,0.016,-0.145,-0.09,-0.024,0.085
0.047,-0.065,-0.112,0.009,0.08,-0.088,-0.541,0.026,-0.008,0.022,0.007,-0.006
-0.031,0.035,0.066,-0.003,-0.049,0.051,-0.036,-0.083,-0.14,-0.105,-0.118,-0.11
0.12,0.181,0.061,-0.151,0.029,0.121,-0.067,0.19,0.219,0.2,0.19,0.16
0.08,0.131,0.052,-0.105,0.014,0.091,-0.093,0.05,0.349,0.294,0.233,-0.064
0.128,0.18,0.051,-0.154,0.038,0.115,-0.004,0.362,0.422,0.226,0.153,0.158
-0.081,0.007,0.088,0.037,-0.085,0.048,-0.005,0.197,-0.146,-0.109,-0.053,0.038
